Szóda Karaf;1l;1 000;ásványvízek
Szóda Karaf;0,5l;500;ásványvízek
Naturaqua szénsavmentes;0,33l;590;ásványvízek
Naturaqua szénsavmentes;0,75l;1 190;áványvízek
Naturaqua szénsavas;0,75l;1 190;áványvízek
Coca-Cola;0,25l;590;szénsavas üdítők
Coca-Cola Zero;0,25l;590;szénsavas üdítők
Fanta narancs;0,25l;590;szénsavas üdítők
Almdudler;0,25l;790;szénsavas üdítők
Cappy narancslé;1dl;300;gyümölcslevek, rostos üdítők
Cappy almalé;1dl;300;gyümölcslevek, rostos üdítők
Cappy őszibaracklé;1dl;300;gyümölcslevek, rostos üdítők
Cappy eperlé;1dl;300;gyümölcslevek, rostos üdítők
Cappy multivitamin;1dl;300;gyümölcslevek, rostos üdítők
Bodzás limonádé;5dl;1 390;házi limonádék
Áfonyás limonádé;5dl;1 390;házi limonádék
Levendulás limonádé;5dl;1 390;házi limonádék
Mangós limonádé;5dl;1 390;házi limonádék
Maracujás limonádé;5dl;1 390;házi limonádék
Epres limonádé;5dl;1 390;házi limonádék
Radler;0,5l;720;csapolt sörök
Heineken;0,5l;1 190;csapolt sörök
Edelweiss búzasör;0,5l;1 290;csapolt sörök
Eristoff Red;4cl;1 400;rövid italok
Jack Daniel's;4cl;1 800;rövid italok
Tiscaz Tequila Gold;4cl;1 400;rövid italok
Limonchello;4cl;1 400;rövid italok



 

 
